time, acel_x,acel_y,acel_z,gyro_x, gyro_y, gyro_z,mag_x, mag_y, mag_z,Pressure
aurrera
124759, 0.26, -0.14, 0.97, 2.44, -2.32, -0.37, 22.12, 11.10, -50.40, 101.45
124885, 0.34, -0.10, 0.91, 1.95, -3.23, -0.49, 21.87, 11.65, -50.77, 101.45
125011, 0.52, -0.04, 0.86, 5.55, -6.90, 5.43, 21.68, 11.49, -49.85, 101.45
125137, 0.32, -0.16, 1.04, 1.59, -3.30, -0.49, 22.00, 11.30, -50.24, 101.46
125263, 0.43, 0.18, 0.90, 8.79, 2.01, 1.65, 22.08, 11.46, -49.83, 101.45
125389, 0.47, -0.25, 0.76, 7.39, -7.32, 12.02, 21.87, 11.40, -50.54, 101.45
125516, 0.53, -0.21, 0.93, 4.64, -2.50, 14.59, 22.13, 11.33, -49.90, 101.45
125642, 0.40, -0.35, 0.83, 6.10, -5.19, 18.92, 23.05, 10.99, -50.11, 101.44
125768, 0.47, -0.17, 1.13, 10.68, -3.72, 2.44, 22.62, 11.94, -49.63, 101.45
125895, 0.35, -0.09, 1.06, 2.44, -6.35, -7.93, 23.44, 11.39, -49.17, 101.43
126022, 0.26, 0.12, 0.81, -16.72, 7.69, -4.33, 24.02, 11.04, -50.04, 101.45
126149, 0.23, -0.29, 0.83, -17.52, 11.47, -0.92, 23.77, 9.92, -50.73, 101.43
126275, 0.34, -0.40, 1.17, 9.64, -10.19, -10.80, 24.06, 9.75, -51.27, 101.45
126401, 0.36, -0.16, 1.17, 0.31, -7.32, -7.26, 24.50, 8.73, -52.28, 101.45
126527, 0.43, -0.15, 1.16, 2.08, 3.48, -9.40, 24.49, 7.63, -51.84, 101.45
126653, 0.39, -0.35, 0.75, -8.42, 18.31, -12.15, 24.93, 7.36, -52.17, 101.44
126779, 0.14, -0.00, 0.74, -20.94, 11.47, -8.67, 24.30, 6.71, -51.70, 101.45
126906, 0.25, -0.32, 0.93, 1.22, -5.49, -11.54, 24.21, 5.94, -51.76, 101.45
127033, 0.19, -0.25, 0.75, -7.51, 3.17, 0.43, 24.51, 5.41, -52.06, 101.45
127159, 0.38, 0.21, 1.14, -1.89, -7.26, -1.65, 23.77, 6.12, -52.43, 101.44
127285, 0.32, -0.38, 0.88, 7.39, 0.06, -10.38, 23.13, 6.73, -51.49, 101.44
127411, 0.10, -0.10, 1.05, 0.67, -2.38, -5.55, 22.24, 6.70, -52.09, 101.45
127538, 0.02, -0.02, 0.96, -7.63, 5.25, 7.75, 22.51, 7.35, -50.88, 101.44
127664, 0.14, -0.03, 1.22, 2.81, -8.67, 6.23, 22.99, 7.60, -52.45, 101.45
127790, 0.26, -0.11, 1.12, 1.65, -5.43, 2.87, 22.44, 8.51, -51.17, 101.43
127916, -0.07, 0.11, 0.75, 15.63, -17.46, -1.22, 22.29, 8.61, -51.61, 101.44
128042, 0.13, -0.07, 0.95, -2.38, -1.77, 10.68, 22.02, 8.63, -51.49, 101.45
128168, 0.09, -0.26, 1.04, -3.17, 2.81, 11.78, 22.90, 8.95, -51.04, 101.45
128294, 0.12, -0.28, 0.91, -8.24, 2.93, 17.03, 22.51, 9.38, -50.94, 101.45
128421, 0.06, 0.21, 1.20, 15.99, -0.67, 3.30, 22.91, 8.70, -50.62, 101.45
128548, 0.23, -0.34, 0.92, 1.77, -0.92, 10.38, 23.58, 8.67, -50.49, 101.45
128675, 0.01, -0.11, 1.05, 8.12, -10.99, 6.59, 22.94, 8.90, -49.13, 101.45
128802, 0.08, 0.10, 1.02, 15.56, -7.57, -1.71, 22.72, 8.67, -48.90, 101.45
128929, 0.04, 0.06, 0.67, -10.19, 1.46, 6.53, 22.61, 8.68, -48.60, 101.44
129055, 0.10, -0.13, 0.92, -5.07, 2.69, 1.04, 22.57, 8.64, -48.65, 101.45
129180, 0.07, -0.04, 0.98, 8.67, -7.45, -3.17, 21.53, 7.53, -48.58, 101.44
